trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 49.95}",30,0,-216.40987224291354,"{0: 16, 1: 6, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.7, 'e': 49.900000000000006}",20,0,-116.75240370589556,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 49.85000000000001}",25,0,-98.97699898148888,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 49.80000000000001}",25,0,-85.848774349503,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 49.750000000000014}",25,0,-167.03626091116507,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 49.70000000000002}",20,0,-97.09086278324173,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 49.65000000000002}",30,0,-117.59003298043206,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
8,False,"{'a': 0.7, 'e': 49.60000000000002}",25,0,-126.12431036968256,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 49.550000000000026}",20,0,-84.8061142206635,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 49.50000000000003}",30,0,-143.54788718561008,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 49.45000000000003}",20,0,-142.9821450016198,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 49.400000000000034}",20,0,-65.05372238738093,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.7, 'e': 49.35000000000004}",20,0,-70.16937358088481,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 49.30000000000004}",20,0,-33.09821966974659,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.7, 'e': 49.25000000000004}",25,0,-80.64902653596347,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.7, 'e': 49.200000000000045}",25,0,-188.80443820722448,"{0: 9, 1: 7, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.7, 'e': 49.15000000000005}",35,0,-184.67518533854624,"{0: 19, 1: 7, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.7, 'e': 49.10000000000005}",25,20,8.121652285039104,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 49.050000000000054}",25,0,-173.22044001830932,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
