trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,14,24.06129750083449,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,20,18.137730995021634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,16,8.15324826857748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,8,22.28247001816802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,7,23.264938758166725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,13,14.320500986493164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,22.816886391543765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,21.877299006876456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,9,39.22037520146322,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,13.308395275261876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,3,45.73594523162288,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,23,9.83556284120426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,19.197706170751047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,14,29.83394777921689,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,14,22.950408694657057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,13.55153279377204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,15.225683568697033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,22.15548310220357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,19.65942239869434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,27.9707172724135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,23.915264150390716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
