trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",25,0,-12.478023530072843,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.0037778931862957215}",20,10,-25.58271777174409,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.0004056481920730342}",20,0,0.39211506929120854,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.75, 'e': 4.676805239458904e-06}",20,0,-59.169901985467234,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
5,False,"{'a': 0.75, 'e': 5.39198933343015e-08}",20,0,24.114959652979486,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 6.216540455122366e-10}",25,8,25.258699780384674,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 1.3998404638611363e-11}",25,13,-33.372018671453084,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.75, 'e': 9.619630419041687e-13}",30,6,15.58203991861383,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.75, 'e': 4.542742026847581e-15}",30,20,16.758394089008043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 4.877732109868781e-16}",25,0,-72.52925063170812,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.75, 'e': 1.842755090244912e-18}",25,0,12.133347028043612,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 6.96173189944801e-21}",20,8,1.5103121214516286,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.75, 'e': 4.784065733063869e-22}",20,2,28.560031257639835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 8.61820666109697e-24}",25,0,11.627999064695205,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.75, 'e': 3.255866422304664e-26}",30,20,16.473731528989976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 3.495959950985766e-27}",20,2,-37.54274107609086,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.75, 'e': 6.297761573024676e-29}",25,11,25.32372425605822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 2.7697848314006035e-30}",20,0,-25.02537922014578,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 3.193344495255609e-32}",20,9,15.458073454024175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.75, 'e': 2.7430620343968956e-33}",20,7,3.2690157184788315,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-53.08809506622592,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,25.072672277351465,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,8,9.142587834639825,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,6.889108663408871,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-89.60974816186202,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,13.1033359060983,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,5,26.17641847949604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,20,18.076433513167423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,-5.536198104902739,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,26.823954299103598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,4,10.509479590212944,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,0,-24.218370898047908,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",20,11,7.294596293042083,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,0,26.896588641848247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",35,24,19.691536797027936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,15,19.468254573851723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,-69.84438135622466,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",35,0,48.476444752188414,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",20,0,4.786289664247248,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,0,28.580215673194125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
