trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-157.9218114573377,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-147.61906459214057,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-184.0819546453061,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,-9.26284492724978,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-46.184343191060705,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-78.55890787160504,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-92.54229479493948,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-179.28092186647177,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-174.04887124405093,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-133.46754689336706,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-89.09802941736655,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-125.58205305883082,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-118.60388292373268,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-105.48969383996528,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-140.4844171661024,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-190.9874758989033,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-147.94604705361087,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-218.3783058839774,"{0: 10, 1: 6, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-113.06950757079727,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-77.49857604694473,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,1,-41.02202977510218,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
